artist,title,year,date,TV
ScHoolboy Q,Yay Yay,2013,2013-04-16,76.03432424149555
Trinidad James,All Gold Everything,2013,2013-01-01,67.98784091868615
Trinidad James,Female$ Welcomed,2013,2013-01-01,60.1609010458568
Trinidad James,Givin' No F**k$,2013,2013-01-01,66.37925955023077
Joey Bada$$,95 Till Infinity,2013,2013-10-29,45.31573135227386
Joey Bada$$,Unorthodox,2013,2013-01-14,48.440360841964576
Joey Bada$$,#longlivesteelo,2013,2013-10-29,52.403536977491946
Action Bronson,Strictly 4 My Jeeps,2013,2013-06-11,56.42857142857141
Action Bronson,The Rockers (feat. Wiz Khalifa),2013,2013-06-11,55.0457294586222
Action Bronson,Triple Backflip,2013,2013-06-11,68.18810770381451
Kirko Bangz,"Cup Up Top Down (feat. Z Ro, Paul Wall & Slim Thug)",2013,2013-08-12,54.59618702916544
Kirko Bangz,Old Ways,2013,2013-08-12,45.77652595550487
Kirko Bangz,I Got A Friend (feat. Nipsey Hussle),2013,2013-08-12,46.9313282153749
Travis Scott,Upper Echelon (feat. T.I. & 2 Chainz),2013,2013-05-21,53.8562860167
Dizzy Wright,Killem with Kindness,2013,2013-08-19,43.45795053003534
Dizzy Wright,Untouchable,2013,2013-08-19,66.34496148305881
Dizzy Wright,The Flavor,2013,2013-08-19,70.84653513460978
Angel Haze,Battle Cry,2013,2013-01-01,38.00817204301075
Angel Haze,Black Dahlia,2013,2013-01-01,59.62503347915365
Angel Haze,New York,2013,2013-01-01,61.38894861320146
Chief Keef,Ape Shit,2013,2013-10-19,70.9933598937583
Chief Keef,Glo Gang Mafia (feat. Capo),2013,2013-10-19,65.44596837599371
Rich Homie Quan,Tell Em,2014,2014-12-09,47.8181299885975
Rich Homie Quan,Milk Marie,2014,2014-12-09,50.83308758478325
Rich Homie Quan,Imma Ride,2014,2014-12-09,68.693549235056
Isaiah Rashad,West Savannah (feat. SZA),2014,2014-01-28,61.35975277222323
Isaiah Rashad,Heavenly Father,2014,2014-01-28,62.34229546111593
Isaiah Rashad,Ronnie Drake (feat. SZA),2014,2014-01-28,75.20824673705212
Ty Dolla $ign,Stand For,2014,2014-11-17,48.29312891201913
Ty Dolla $ign,Familiar (feat. Travi$ Scott & Fredo Santana),2014,2014-01-21,40.77896585567438
Ty Dolla $ign,Wood & Leather (feat. Big TC & Pops),2014,2014-01-21,52.91180722891568
Lil Durk,Gas and Mud,2014,2014-07-07,30.14588859416451
Lil Durk,What You Do To Me,2014,2014-07-07,27.52247191011237
Lil Durk,Party,2014,2014-07-07,41.90237254537571
Kevin Gates,Perfect Imperfection,2014,2014-12-15,62.396322252941545
Kevin Gates,Out the Mud,2014,2014-12-15,60.77076171521621
Kevin Gates,I Don't Get Tired (#IDGT) (feat. August Alsina),2014,2014-12-15,66.72529438068266
Troy Ave,Your Style,2014,2014-05-05,45.07712795472201
Troy Ave,My Day,2014,2014-05-05,64.42558942784201
Troy Ave,Me And You,2014,2014-05-05,52.09369687047416
Jarren Benton,Plan A,2014,2014-08-21,48.50362137293308
Jarren Benton,Gimmie the Loot,2014,2014-03-18,79.70184254606365
August Alsina,No Love,2014,2014-08-05,44.73217365594047
August Alsina,I Luv This Shit - Remix (Bonus Track),2014,2014-01-01,41.32367435442539
August Alsina,Benediction,2014,2014-01-01,46.73356462166791
Fetty Wap,Trap Queen,2015,2015-09-25,46.90210047905664
Fetty Wap,Again,2015,2015-09-25,41.46307253999564
Fetty Wap,My Way (feat. Monty),2015,2015-09-25,38.51196410767697
DeJ Loaf,Me U & Hennessy (feat. Lil Wayne),2015,2015-04-20,43.93128863528291
DeJ Loaf,Hey There (feat. Future),2015,2015-07-31,38.314558325638686
DeJ Loaf,We Be On It,2015,2015-02-24,42.86841764781988
Raury,Crystal Express,2015,2015-10-16,48.25010541533643
Raury,God's Whisper,2015,2015-02-24,39.558632382028826
Raury,Friends (feat. Tom Morello) - Tom Misch Remix,2015,2015-12-16,47.5549108992955
Kidd Kidd,Ejected,2015,2015-06-30,40.44850580390221
Kidd Kidd,Never,2015,2015-01-07,55.36123645039158
OG Maco,Yngm (Remix),2015,2015-08-06,41.53390768638402
Shy Glizzy,48,2015,2015-10-21,44.22486123660772
Shy Glizzy,Going Thru Shit (feat. Boosie),2015,2015-10-21,58.057597574838965
Shy Glizzy,Funeral (feat. Jeezy),2015,2015-05-04,36.24127349443804
K CAMP,Owe Me That Pussy,2015,2015-01-19,52.265656979124046
K CAMP,Marilyn Monroe,2015,2015-01-19,58.32748296510428
K CAMP,One Hunnid,2015,2015-01-19,47.325102880658434
Vince Staples,Norf Norf,2015,2015-06-30,51.47751124437781
Vince Staples,Summertime,2015,2015-06-30,63.78359138636768
Vince Staples,Jump Off The Roof,2015,2015-06-30,57.14718505427921
Tink,Million,2015,2015-05-11,44.93158923470155
Tink,H20,2015,2015-07-30,43.84165542060279
Tink,I Like,2015,2015-07-30,40.9461724715962
GoldLink,Late Night (feat. Masego),2015,2015-11-06,59.15369549530976
GoldLink,Palm Trees,2015,2015-11-06,42.57777228028944
GoldLink,Spectrum,2015,2015-11-06,68.20006371455878
Lil Uzi Vert,Money Longer,2016,2016-05-27,34.897833663636966
Lil Uzi Vert,Erase Your Social,2016,2016-08-10,38.97670200892859
Lil Uzi Vert,You Was Right,2016,2016-05-27,27.916997932898703
Lil Yachty,One Night,2016,2016-07-05,28.738880167451583
Lil Yachty,Minnesota,2016,2016-07-05,55.75465639049454
Lil Yachty,Shoot Out The Roof,2016,2016-07-29,64.86071282261368
Kodak Black,Too Many Years,2016,2016-06-10,43.089947089947074
Kodak Black,Purp,2016,2016-06-10,46.04622796853082
Kodak Black,Gave It All I Got,2016,2016-06-10,37.86244999047437
Denzel Curry,This Life,2016,2016-10-14,34.07927747114902
Denzel Curry,ULT,2016,2016-10-14,48.08561507371775
Denzel Curry,Zenith,2016,2016-10-14,42.45251396648047
G Herbo,Write Your Name,2016,2016-11-04,56.66015216025686
G Herbo,Kill Shit (feat. Lil Bibby) - Bonus Track,2016,2016-11-04,56.93405070514388
G Herbo,Pull Up,2016,2016-11-25,53.994539249146754
Dave East,Type of Time,2016,2016-09-30,57.23690773067332
