artist,title,year,date,TV
GloRilla,"Wrong One (with Gloss Up & Slimeroni feat. K Carbon, Aleza, Tay Keith)",2023,2023-09-06,62.37710931768159
2Rare,"Anything Flows (feat. Maiya The Don, 2Rare & Kari Faux)",2023,2023-06-27,46.781183178902346
2Rare,Don't Run,2023,2023-07-14,60.90824261275271
2Rare,2HUMPY Anthem,2023,2023-05-12,66.70326576576576
SleazyWorld Go,Off The Court (with Polo G & Einer Bankz),2023,2023-05-05,49.08631639722864
SleazyWorld Go,Got Me Hot,2023,2023-08-29,61.83779333058872
SleazyWorld Go,Don't Get Ya Feelings In It (feat. Luh Tyler),2023,2023-07-21,53.10266363271316
Central Cee,On The Radar Freestyle,2023,2023-07-26,51.61875480399693
Central Cee,UK Rap,2023,2023-06-04,68.16984115034255
Central Cee,Trojan Horse,2023,2023-06-04,77.1885329265192
Real Boston Richey,Bubba Man,2023,2023-09-08,51.56833969278933
Real Boston Richey,Ain't Gone Lie,2023,2023-09-08,70.86821206267439
Real Boston Richey,Loner,2023,2023-01-06,60.50696378830084
Luh Tyler,Back Flippin,2023,2023-03-31,68.03569385653813
Luh Tyler,Fat Racks,2023,2023-04-04,56.16277733072768
Luh Tyler,Rapper of the Year,2023,2023-08-25,44.981074943224826
TiaCorine,FreakyT,2023,2023-01-09,58.15030101723063
TiaCorine,FEAST (Remix),2023,2023-03-29,54.9029443838604
DC The Don,Tell Shyanne,2023,2023-08-03,35.08364813815435
DC The Don,Stop Hating,2023,2023-07-13,51.12309074573228
DC The Don,Hate The New You,2023,2023-05-05,32.35692625330666
